Tanggal,curah_hujan
01-07-2013,23.0
02-07-2013,0.4
03-07-2013,3.1
04-07-2013,3.5
05-07-2013,11.3
06-07-2013,3.2
07-07-2013,16.9
08-07-2013,4.7
09-07-2013,0.4
10-07-2013,0.0
11-07-2013,5.2
12-07-2013,2.1
13-07-2013,0.4
14-07-2013,0.5
15-07-2013,22.4
16-07-2013,21.7
17-07-2013,0.5
18-07-2013,21.6
19-07-2013,7.8
20-07-2013,1.3
21-07-2013,0.9
22-07-2013,0.0
23-07-2013,0.0
24-07-2013,0.8
25-07-2013,5.9
26-07-2013,0.1
27-07-2013,0.0
28-07-2013,7.6
29-07-2013,0.0
30-07-2013,7.3
31-07-2013,0.8
01-08-2013,0.0
02-08-2013,2.5
03-08-2013,1.2
04-08-2013,27.8
05-08-2013,0.0
06-08-2013,2.5
07-08-2013,2.5
08-08-2013,5.2
09-08-2013,21.6
10-08-2013,2.8
11-08-2013,0.1
12-08-2013,0.0
13-08-2013,0.0
14-08-2013,0.0
15-08-2013,4.7
16-08-2013,0.0
17-08-2013,2.0
18-08-2013,0.0
19-08-2013,0.0
20-08-2013,8.4
21-08-2013,0.0
22-08-2013,0.0
23-08-2013,0.0
24-08-2013,0.0
25-08-2013,12.8
26-08-2013,12.8
27-08-2013,0.0
28-08-2013,3.4
29-08-2013,17.8
30-08-2013,28.1
31-08-2013,1.0
01-09-2013,5.5
02-09-2013,11.1
03-09-2013,11.8
04-09-2013,17.0
05-09-2013,11.4
06-09-2013,1.0
07-09-2013,13.8
08-09-2013,0.0
09-09-2013,0.3
10-09-2013,0.1
11-09-2013,0.0
12-09-2013,10.6
13-09-2013,0.0
14-09-2013,14.4
15-09-2013,8.7
16-09-2013,0.0
17-09-2013,8.2
18-09-2013,16.2
19-09-2013,0.0
20-09-2013,0.0
21-09-2013,0.0
22-09-2013,0.0
23-09-2013,0.0
24-09-2013,0.0
25-09-2013,0.0
26-09-2013,0.0
27-09-2013,0.0
28-09-2013,0.0
29-09-2013,6.2
30-09-2013,1.5
01-10-2013,0.0
02-10-2013,0.0
03-10-2013,0.0
04-10-2013,0.0
05-10-2013,1.7
06-10-2013,0.3
07-10-2013,0.0
08-10-2013,0.3
09-10-2013,1.0
10-10-2013,0.0
11-10-2013,0.0
12-10-2013,0.1
13-10-2013,0.0
14-10-2013,0.0
15-10-2013,0.0
16-10-2013,0.0
17-10-2013,0.0
18-10-2013,0.0
19-10-2013,0.0
20-10-2013,0.9
21-10-2013,0.0
22-10-2013,3.0
23-10-2013,2.0
24-10-2013,0.4
25-10-2013,0.0
26-10-2013,0.0
27-10-2013,0.0
28-10-2013,5.3
29-10-2013,1.5
30-10-2013,2.5
31-10-2013,5.1
01-11-2013,0.0
02-11-2013,3.3
03-11-2013,8.0
04-11-2013,0.7
